Fisher_ID	malagasy	Nom_courant	Family	Genus	species	Quantite	Year	Technique
610	4	Menaeliky	Bossu_Dore	Lethrinidae	Lethrinus	NA	15	2017	Hook
611	63	Menaeliky	Bossu_Dore	Lethrinidae	Lethrinus	NA	15	1986	Hook
612	98	Menaeliky	Bossu_Dore	Lethrinidae	Lethrinus	NA	15	2017	Hook
613	104	Menaeliky	Bossu_Dore	Lethrinidae	Lethrinus	NA	15	2017	Hook
614	35	Menaeliky	Bossu_Dore	Lethrinidae	Lethrinus	NA	10	2017	Hook
615	9	Menaeliky	Bossu_Dore	Lethrinidae	Lethrinus	NA	5	2007	Hook
616	65	Menaeliky	Bossu_Dore	Lethrinidae	Lethrinus	NA	5	2010	Hook
617	81	Menaeliky	Bossu_Dore	Lethrinidae	Lethrinus	NA	5	2017	Hook
618	81	Menaeliky	Bossu_Dore	Lethrinidae	Lethrinus	NA	3	1968	Hook
644	60	Mondrazy	Rouget_Barbet	Mullidae	Parupeneus	Parupeneus_barberinus	25	2002	Filets
645	88	Mondrazy	Rouget_Barbet	Mullidae	Parupeneus	Parupeneus_barberinus	20	2007	Filets
646	88	Mondrazy	Rouget_Barbet	Mullidae	Parupeneus	Parupeneus_barberinus	20	2017	Filets
647	90	Mondrazy	Rouget_Barbet	Mullidae	Parupeneus	Parupeneus_barberinus	20	2017	Filets
648	67	Mondrazy	Rouget_Barbet	Mullidae	Parupeneus	Parupeneus_barberinus	15	2007	Hook
649	92	Mondrazy	Rouget_Barbet	Mullidae	Parupeneus	Parupeneus_barberinus	15	1987	Hook
650	92	Mondrazy	Rouget_Barbet	Mullidae	Parupeneus	Parupeneus_barberinus	15	2007	Hook
651	67	Mondrazy	Rouget_Barbet	Mullidae	Parupeneus	Parupeneus_barberinus	10	2017	Hook
652	89	Mondrazy	Rouget_Barbet	Mullidae	Parupeneus	Parupeneus_barberinus	10	2017	Filets
653	64	Mondrazy	Rouget_Barbet	Mullidae	Parupeneus	Parupeneus_barberinus	8	2017	Hook
654	66	Mondrazy	Rouget_Barbet	Mullidae	Parupeneus	Parupeneus_barberinus	8	2000	Hook
655	42	Mondrazy	Rouget_Barbet	Mullidae	Parupeneus	Parupeneus_barberinus	7	2007	Filets
656	108	Mondrazy	Rouget_Barbet	Mullidae	Parupeneus	Parupeneus_barberinus	7	1983	Nasse
657	70	Mondrazy	Rouget_Barbet	Mullidae	Parupeneus	Parupeneus_barberinus	6	2007	Filets
658	107	Mondrazy	Rouget_Barbet	Mullidae	Parupeneus	Parupeneus_barberinus	6	1992	Nasse
659	9	Mondrazy	Rouget_Barbet	Mullidae	Parupeneus	Parupeneus_barberinus	5	2009	Filets
660	19	Mondrazy	Rouget_Barbet	Mullidae	Parupeneus	Parupeneus_barberinus	5	2012	Filets
661	19	Mondrazy	Rouget_Barbet	Mullidae	Parupeneus	Parupeneus_barberinus	5	2017	Filets
662	35	Mondrazy	Rouget_Barbet	Mullidae	Parupeneus	Parupeneus_barberinus	5	2017	Filets
663	42	Mondrazy	Rouget_Barbet	Mullidae	Parupeneus	Parupeneus_barberinus	5	2017	Filets
664	56	Mondrazy	Rouget_Barbet	Mullidae	Parupeneus	Parupeneus_barberinus	5	2007	Nasse
665	58	Mondrazy	Rouget_Barbet	Mullidae	Parupeneus	Parupeneus_barberinus	4	2007	Nasse
666	60	Mondrazy	Rouget_Barbet	Mullidae	Parupeneus	Parupeneus_barberinus	4	2017	Filets
667	110	Mondrazy	Rouget_Barbet	Mullidae	Parupeneus	Parupeneus_barberinus	4	2017	Diving
668	16	Mondrazy	Rouget_Barbet	Mullidae	Parupeneus	Parupeneus_barberinus	3	2007	Filets
669	16	Mondrazy	Rouget_Barbet	Mullidae	Parupeneus	Parupeneus_barberinus	3	2017	Filets
670	58	Mondrazy	Rouget_Barbet	Mullidae	Parupeneus	Parupeneus_barberinus	3	2017	Nasse
671	109	Mondrazy	Rouget_Barbet	Mullidae	Parupeneus	Parupeneus_barberinus	3	2017	Diving
672	110	Mondrazy	Rouget_Barbet	Mullidae	Parupeneus	Parupeneus_barberinus	3	2017	Diving
673	66	Mondrazy	Rouget_Barbet	Mullidae	Parupeneus	Parupeneus_barberinus	2	2016	Filets
674	88	Mondrazy	Rouget_Barbet	Mullidae	Parupeneus	Parupeneus_barberinus	2	2007	Nasse
675	88	Mondrazy	Rouget_Barbet	Mullidae	Parupeneus	Parupeneus_barberinus	2	2017	Nasse
676	109	Mondrazy	Rouget_Barbet	Mullidae	Parupeneus	Parupeneus_barberinus	2	2007	Diving
677	2	Mondrazy	Rouget_Barbet	Mullidae	Parupeneus	Parupeneus_barberinus	1	2017	Hook
678	39	Mondrazy	Rouget_Barbet	Mullidae	Parupeneus	Parupeneus_barberinus	1	2017	Hook
679	108	Mondrazy	Rouget_Barbet	Mullidae	Parupeneus	Parupeneus_barberinus	1	2007	Nasse
682	76	Orandretsy	Langouste	NA	NA	NA	200	2009	Diving
683	85	Orandretsy	Langouste	NA	NA	NA	200	2004	Langouste
684	85	Orandretsy	Langouste	NA	NA	NA	100	2007	Langouste
685	30	Orandretsy	Langouste	NA	NA	NA	80	1995	Diving
686	54	Orandretsy	Langouste	NA	NA	NA	80	2000	Diving
687	54	Orandretsy	Langouste	NA	NA	NA	60	2017	Diving
688	85	Orandretsy	Langouste	NA	NA	NA	55	2017	Diving
689	5	Orandretsy	Langouste	NA	NA	NA	50	1983	Diving
690	30	Orandretsy	Langouste	NA	NA	NA	50	2007	Diving
691	72	Orandretsy	Langouste	NA	NA	NA	40	2011	Langouste
692	30	Orandretsy	Langouste	NA	NA	NA	30	2017	Diving
693	76	Orandretsy	Langouste	NA	NA	NA	30	2017	Diving
694	26	Orandretsy	Langouste	NA	NA	NA	15	1997	Diving
695	72	Orandretsy	Langouste	NA	NA	NA	12	2017	Diving
696	22	Orandretsy	Langouste	NA	NA	NA	8	1997	Diving
697	26	Orandretsy	Langouste	NA	NA	NA	8	2007	Diving
698	88	Orandretsy	Langouste	NA	NA	NA	8	2007	Langouste
699	89	Orandretsy	Langouste	NA	NA	NA	5	2017	Diving
700	26	Orandretsy	Langouste	NA	NA	NA	4.5	2017	Diving
701	5	Orandretsy	Langouste	NA	NA	NA	4	2007	Diving
702	88	Orandretsy	Langouste	NA	NA	NA	4	2017	Diving
703	5	Orandretsy	Langouste	NA	NA	NA	3	2017	Diving
704	22	Orandretsy	Langouste	NA	NA	NA	2	2007	Diving
705	22	Orandretsy	Langouste	NA	NA	NA	2	2017	Diving
708	54	Orita	Poulpe	NA	NA	NA	61	2000	Diving
709	76	Orita	Poulpe	NA	NA	NA	40	2009	Diving
710	29	Orita	Poulpe	NA	NA	NA	30	2007	Diving
711	107	Orita	Poulpe	NA	NA	NA	30	1992	Diving
712	108	Orita	Poulpe	NA	NA	NA	27	2007	Diving
713	109	Orita	Poulpe	NA	NA	NA	24	2007	Diving
714	29	Orita	Poulpe	NA	NA	NA	20	2017	Diving
715	100	Orita	Poulpe	NA	NA	NA	20	1987	Foot
716	111	Orita	Poulpe	NA	NA	NA	20	2017	Diving
717	103	Orita	Poulpe	NA	NA	NA	19	2007	Foot
718	107	Orita	Poulpe	NA	NA	NA	19	2007	Diving
719	108	Orita	Poulpe	NA	NA	NA	18	2017	Diving
720	107	Orita	Poulpe	NA	NA	NA	17	2017	Diving
721	34	Orita	Poulpe	NA	NA	NA	15	1997	Diving
722	71	Orita	Poulpe	NA	NA	NA	15	2015	Diving
723	78	Orita	Poulpe	NA	NA	NA	15	2011	Diving
724	92	Orita	Poulpe	NA	NA	NA	15	1987	Diving
725	109	Orita	Poulpe	NA	NA	NA	15	2017	Diving
726	92	Orita	Poulpe	NA	NA	NA	12	2007	Diving
727	92	Orita	Poulpe	NA	NA	NA	12	2017	Diving
728	100	Orita	Poulpe	NA	NA	NA	12	2007	Foot
729	71	Orita	Poulpe	NA	NA	NA	11.5	2017	Diving
730	103	Orita	Poulpe	NA	NA	NA	11	2017	Foot
731	54	Orita	Poulpe	NA	NA	NA	10	2017	Diving
732	78	Orita	Poulpe	NA	NA	NA	10	2017	Diving
733	98	Orita	Poulpe	NA	NA	NA	10	2007	Foot
734	100	Orita	Poulpe	NA	NA	NA	7	2017	Foot
735	34	Orita	Poulpe	NA	NA	NA	6	2007	Diving
736	22	Orita	Poulpe	NA	NA	NA	5	1997	Diving
737	22	Orita	Poulpe	NA	NA	NA	5	2007	Diving
738	22	Orita	Poulpe	NA	NA	NA	5	2017	Diving
739	76	Orita	Poulpe	NA	NA	NA	5	2017	Diving
740	98	Orita	Poulpe	NA	NA	NA	5	2017	Foot
741	34	Orita	Poulpe	NA	NA	NA	3	2017	Diving
742	109	Orita	Poulpe	NA	NA	NA	3	1997	Diving
751	51	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	200	2011	Hook
752	73	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	200	2007	Hook
753	83	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	200	2000	Filets
754	75	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	150	1997	Hook
755	83	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	120	2007	Filets
756	27	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	100	2012	Hook
757	73	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	100	2017	Hook
758	20	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	90	2007	Hook
759	27	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	90	2017	Hook
760	74	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	90	2007	Hook
761	17	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	80	2011	Hook
762	21	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	80	2007	Hook
763	74	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	80	2017	Hook
764	83	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	70	2017	Filets
765	43	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	60	2007	Hook
766	61	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	60	2017	Filets
767	62	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	60	2017	Filets
768	3	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	50	2017	Filets
769	18	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	50	2007	Hook
770	43	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	50	2017	Hook
771	68	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	50	2007	Hook
772	69	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	50	2017	Hook
773	75	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	50	2007	Hook
774	51	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	46	2017	Hook
775	36	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	40	2007	Filets
776	38	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	40	2017	Hook
777	17	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	35	2017	Hook
778	20	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	30	2017	Hook
779	21	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	30	2017	Hook
780	23	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	30	2007	Hook
781	44	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	30	2007	Hook
782	50	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	30	2017	Hook
783	61	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	30	1983	Filets
784	75	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	30	2017	Hook
785	48	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	25	2017	Hook
786	23	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	20	2017	Hook
787	44	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	20	2017	Hook
788	55	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	20	2007	Filets
789	55	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	20	2017	Filets
790	61	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	20	2007	Filets
791	38	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	10	2012	Hook
792	53	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	10	2017	Filets
793	9	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	5	2009	Filets
794	9	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	5	2017	Filets
795	18	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	5	2017	Hook
796	86	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	4	2009	Filets
797	86	Peche_cavale	Maquereau	Carangidae	Selar	Selar_crumenophtalmus	4	2017	Filets
805	63	Saroron	Calmar	NA	NA	NA	30	1986	Calmar
806	8	Saroron	Calmar	NA	NA	NA	20	1992	Calmar
807	80	Saroron	Calmar	NA	NA	NA	20	2007	Calmar
808	106	Saroron	Calmar	NA	NA	NA	20	2007	Calmar
809	106	Saroron	Calmar	NA	NA	NA	16	2017	Hook
810	33	Saroron	Calmar	NA	NA	NA	15	1991	Calmar
811	88	Saroron	Calmar	NA	NA	NA	15	2007	Calmar
812	109	Saroron	Calmar	NA	NA	NA	15	2007	Calmar
813	98	Saroron	Calmar	NA	NA	NA	12	2007	Calmar
814	98	Saroron	Calmar	NA	NA	NA	12	2017	Hook
815	88	Saroron	Calmar	NA	NA	NA	11	2017	Hook
816	111	Saroron	Calmar	NA	NA	NA	11	2007	Calmar
817	8	Saroron	Calmar	NA	NA	NA	10	2007	Calmar
818	8	Saroron	Calmar	NA	NA	NA	10	2017	Hook
819	33	Saroron	Calmar	NA	NA	NA	10	2007	Calmar
820	76	Saroron	Calmar	NA	NA	NA	10	2009	Calmar
821	76	Saroron	Calmar	NA	NA	NA	10	2017	Hook
822	111	Saroron	Calmar	NA	NA	NA	9	2017	Hook
823	96	Saroron	Calmar	NA	NA	NA	8	2007	Calmar
824	104	Saroron	Calmar	NA	NA	NA	8	2007	Calmar
825	106	Saroron	Calmar	NA	NA	NA	8	1997	Calmar
826	100	Saroron	Calmar	NA	NA	NA	7	1987	Calmar
827	80	Saroron	Calmar	NA	NA	NA	5	2017	Hook
828	100	Saroron	Calmar	NA	NA	NA	5	2007	Calmar
829	99	Saroron	Calmar	NA	NA	NA	4.5	2017	Hook
830	33	Saroron	Calmar	NA	NA	NA	4	2017	Hook
831	96	Saroron	Calmar	NA	NA	NA	4	2017	Hook
832	109	Saroron	Calmar	NA	NA	NA	4	1997	Calmar
833	109	Saroron	Calmar	NA	NA	NA	4	2017	Hook
834	100	Saroron	Calmar	NA	NA	NA	3	2017	Hook
835	104	Saroron	Calmar	NA	NA	NA	3	2017	Hook
